movie_id,customer_mail_address,watch_date,price,invoiced
0,aliquet.vel@Nuncmauris.co.uk,2016-12-19 00:00:00 +0000,2.5,0
0,dapibus.quam.quis@fames.org,2016-12-19 00:00:00 +0000,2.5,0
0,justo@vulputate.com,2016-12-19 00:00:00 +0000,2.5,0
1,aliquet.vel@Nuncmauris.co.uk,2016-12-18 00:00:00 +0000,2.5,1
1,arcu@natoquepenatibus.org,2016-12-18 00:00:00 +0000,2.5,1
1,blandit.mattis@dapibus.org,2016-12-18 00:00:00 +0000,2.5,1
1,Cras.vehicula@egetmassa.co.uk,2016-12-18 00:00:00 +0000,2.5,1
1,Curabitur.ut.odio@nisi.net,2016-12-18 00:00:00 +0000,2.5,1
1,dapibus.quam.quis@fames.org,2016-12-18 00:00:00 +0000,2.5,1
1,dictum.eu@nonlobortis.co.uk,2016-12-18 00:00:00 +0000,2.5,1
1,dolor.dapibus@aliquetProin.org,2016-12-18 00:00:00 +0000,2.5,1
1,eget.varius@nunc.co.uk,2016-12-18 00:00:00 +0000,2.5,1
1,faucibus@ametorciUt.net,2016-12-18 00:00:00 +0000,2.5,1
1,justo@vulputate.com,2016-12-18 00:00:00 +0000,2.5,1
1,mattis.semper@In.net,2016-12-18 00:00:00 +0000,2.5,1
1,natoque.penatibus.et@vulputatedui.net,2016-12-18 00:00:00 +0000,2.5,1
1,orci@quam.net,2016-12-18 00:00:00 +0000,2.5,1
1,rhoncus.id@etrutrum.com,2016-12-18 00:00:00 +0000,2.5,1
1,sapien.molestie@acnullaIn.net,2016-12-18 00:00:00 +0000,2.5,1
1,Sed.nulla.ante@nunc.org,2016-12-18 00:00:00 +0000,2.5,1
1,sem.eget.massa@Fuscedolor.com,2016-12-18 00:00:00 +0000,2.5,1
2,aliquet.vel@Nuncmauris.co.uk,2016-12-17 00:00:00 +0000,2.5,0
2,arcu@natoquepenatibus.org,2016-12-17 00:00:00 +0000,2.5,0
2,blandit.mattis@dapibus.org,2016-12-17 00:00:00 +0000,2.5,0
2,Cras.vehicula@egetmassa.co.uk,2016-12-17 00:00:00 +0000,2.5,0
2,Curabitur.ut.odio@nisi.net,2016-12-17 00:00:00 +0000,2.5,0
2,dapibus.quam.quis@fames.org,2016-12-17 00:00:00 +0000,2.5,0
2,dictum.eu@nonlobortis.co.uk,2016-12-17 00:00:00 +0000,2.5,0
2,dolor.dapibus@aliquetProin.org,2016-12-17 00:00:00 +0000,2.5,0
2,eget.varius@nunc.co.uk,2016-12-17 00:00:00 +0000,2.5,0
2,faucibus@ametorciUt.net,2016-12-17 00:00:00 +0000,2.5,0
2,justo@vulputate.com,2016-12-17 00:00:00 +0000,2.5,0
2,mattis.semper@In.net,2016-12-17 00:00:00 +0000,2.5,0
2,natoque.penatibus.et@vulputatedui.net,2016-12-17 00:00:00 +0000,2.5,0
2,orci@quam.net,2016-12-17 00:00:00 +0000,2.5,0
2,rhoncus.id@etrutrum.com,2016-12-17 00:00:00 +0000,2.5,0
2,sapien.molestie@acnullaIn.net,2016-12-17 00:00:00 +0000,2.5,0
2,Sed.nulla.ante@nunc.org,2016-12-17 00:00:00 +0000,2.5,0
2,sem.eget.massa@Fuscedolor.com,2016-12-17 00:00:00 +0000,2.5,0
3,aliquet.vel@Nuncmauris.co.uk,2016-12-16 00:00:00 +0000,2.5,1
3,arcu@natoquepenatibus.org,2016-12-16 00:00:00 +0000,2.5,1
3,blandit.mattis@dapibus.org,2016-12-16 00:00:00 +0000,2.5,1
3,Cras.vehicula@egetmassa.co.uk,2016-12-16 00:00:00 +0000,2.5,1
3,Curabitur.ut.odio@nisi.net,2016-12-16 00:00:00 +0000,2.5,1
3,dapibus.quam.quis@fames.org,2016-12-16 00:00:00 +0000,2.5,1
3,dictum.eu@nonlobortis.co.uk,2016-12-16 00:00:00 +0000,2.5,1
3,dolor.dapibus@aliquetProin.org,2016-12-16 00:00:00 +0000,2.5,1
3,eget.varius@nunc.co.uk,2016-12-16 00:00:00 +0000,2.5,1
3,faucibus@ametorciUt.net,2016-12-16 00:00:00 +0000,2.5,1
3,justo@vulputate.com,2016-12-16 00:00:00 +0000,2.5,1
3,mattis.semper@In.net,2016-12-16 00:00:00 +0000,2.5,1
3,natoque.penatibus.et@vulputatedui.net,2016-12-16 00:00:00 +0000,2.5,1
3,orci@quam.net,2016-12-16 00:00:00 +0000,2.5,1
3,rhoncus.id@etrutrum.com,2016-12-16 00:00:00 +0000,2.5,1
3,sapien.molestie@acnullaIn.net,2016-12-16 00:00:00 +0000,2.5,1
3,Sed.nulla.ante@nunc.org,2016-12-16 00:00:00 +0000,2.5,1
3,sem.eget.massa@Fuscedolor.com,2016-12-16 00:00:00 +0000,2.5,1
4,aliquet.vel@Nuncmauris.co.uk,2016-12-15 00:00:00 +0000,2.5,0
4,arcu@natoquepenatibus.org,2016-12-15 00:00:00 +0000,2.5,0
4,blandit.mattis@dapibus.org,2016-12-15 00:00:00 +0000,2.5,0
4,Cras.vehicula@egetmassa.co.uk,2016-12-15 00:00:00 +0000,2.5,0
4,Curabitur.ut.odio@nisi.net,2016-12-15 00:00:00 +0000,2.5,0
4,dapibus.quam.quis@fames.org,2016-12-15 00:00:00 +0000,2.5,0
4,dictum.eu@nonlobortis.co.uk,2016-12-15 00:00:00 +0000,2.5,0
4,dolor.dapibus@aliquetProin.org,2016-12-15 00:00:00 +0000,2.5,0
4,eget.varius@nunc.co.uk,2016-12-15 00:00:00 +0000,2.5,0
4,faucibus@ametorciUt.net,2016-12-15 00:00:00 +0000,2.5,0
